       MD      Carbon(%)    ASH(%)       H2O(%)       BUMO(Gpa)    SHMO(Gpa)    STRN(Gpa)    POIS         VELP(KM/S)   VELS(KM/S)   LLV(mV)
    7.05       900000       900000       900000        6.292       1.7091       8.5707       0.3755       2.0161       0.9003         3006
     7.1       900000       900000       900000       6.1001       1.6715       8.3289       0.3745       1.9841       0.8889         2998
    7.15       900000       900000       900000        5.887       1.6108       8.0347       0.3746       1.9493       0.8728         3001
     7.2       900000       900000       900000       5.8772       1.5859       7.9917       0.3762       1.9493       0.8684         3004
    7.25       900000       900000       900000       6.0987       1.6135       8.2501       0.3784       1.9881       0.8792         3011
     7.3       900000       900000       900000       6.2348       1.6232        8.399       0.3802       2.0121       0.8845         3012
    7.35       900000       900000       900000        6.175       1.5866       8.2905       0.3817        2.004       0.8767         3019
     7.4       900000       900000       900000       6.1161       1.5512       8.1844       0.3831        1.996        0.869         3017
    7.45       900000       900000       900000       6.3054       1.5771       8.4083       0.3846       2.0284       0.8785         3013
     7.5       900000       900000       900000       6.5862       1.6264       8.7547       0.3859       2.0747       0.8942         3018
    7.55       900000       900000       900000       6.4662        1.573       8.5635       0.3875       2.0576       0.8819         3034
     7.6       900000       900000       900000       6.3782       1.5344        8.424       0.3886        2.045       0.8728         3040
    7.65       900000       900000       900000       6.2967       1.5073       8.3064       0.3892       2.0325       0.8658         3034
     7.7       900000       900000       900000       6.4555       1.5497       8.5217       0.3889       2.0576       0.8774         3028
    7.75       900000       900000       900000       6.5058       1.5557         8.58       0.3893       2.0661       0.8798         3022
     7.8       900000       900000       900000       6.6636       1.5809       8.7714       0.3901       2.0921       0.8882         3026
    7.85       900000       900000       900000        6.259        1.475       8.2256       0.3908       2.0284       0.8589         3028
     7.9       900000       900000       900000       5.9834       1.4001       7.8502       0.3915       1.9841       0.8379         3035
    7.95       900000       900000       900000       5.6204       1.3143       7.3729       0.3915       1.9231        0.812         3046
       8       900000       900000       900000       5.4093        1.263       7.0933       0.3917       1.8868       0.7962         3043
    8.05       900000       900000       900000       5.2701       1.2322       6.9131       0.3915       1.8622       0.7862         3038
     8.1       900000       900000       900000       5.6414       1.3179       7.3987       0.3916       1.9268       0.8132         3040
    8.15       900000       900000       900000        6.001       1.3927        7.858       0.3923       1.9881        0.837         3042
     8.2       900000       900000       900000       6.0721        1.407        7.948       0.3925            2       0.8415         3050
    8.25       900000       900000       900000       5.7712       1.3427       7.5614        0.392       1.9493       0.8214         3052
     8.3       900000       900000       900000       5.5579        1.303       7.2952       0.3913        1.912       0.8081         3046
    8.35       900000       900000       900000       5.6072       1.3268       7.3762       0.3903       1.9194        0.814         3036
     8.4       900000       900000       900000        5.761       1.3634       7.5789       0.3903       1.9455       0.8252         3032
    8.45       900000       900000       900000       5.9201        1.399       7.7854       0.3905       1.9724       0.8361         3031
     8.5       900000       900000       900000       5.7988       1.3585       7.6102       0.3913       1.9531       0.8252         3028
    8.55       900000       900000       900000       5.7688       1.3379       7.5527       0.3924       1.9493       0.8204         3037
     8.6       900000       900000       900000       5.5254       1.2744       7.2246       0.3929       1.9084       0.8015         3039
    8.65       900000       900000       900000       5.2373       1.2001       6.8375       0.3936       1.8587       0.7787         3030
