         MD LLA(mA)   LLS(ohm*m)  MSFL(ohm*m)    LLD(ohm*m)  AR(ohm*m)   devi(deg)   Azi(deg)    GR(API)     GPA(pA/kg)  SP(mV)
        10.5        36        8474        84.6944   8469.4443      3.9279        0.41       213.7     63.2222      1.0685    -28.4443
       10.55        36        8454        84.6944   8469.4443      3.9279         0.4       211.9     62.7778      1.0609    -28.1111
        10.6        36        8446           84.5        8450      3.9269        0.39       210.6     61.7222      1.0431    -28.4443
       10.65        36        8433        84.4444   8444.4443      3.9266        0.38       210.6     60.4444      1.0215    -29.1111
        10.7        36        8075          84.25        8425      3.9256        0.41       214.3     59.4444      1.0046         -30
       10.75        38        7956        79.6053   7960.5264      3.9009        0.42       226.6     58.3333      0.9858    -30.8889
        10.8        38        7751        79.5263   7952.6313      3.9005        0.43       236.8     57.1111      0.9652    -31.8889
       10.85        39        7948        77.7179   7771.7949      3.8905        0.41       243.2     56.1667      0.9492         -33
        10.9        38        7901        80.3947   8039.4736      3.9052        0.39       246.4     55.4444       0.937    -34.2222
       10.95        40        7674         76.675   7667.5005      3.8847        0.39       247.6     54.8889      0.9276    -35.2222
          11        40        7662         76.725      7672.5      3.8849         0.4       249.3     54.1667      0.9154    -35.8889
       11.05        40        7510          76.55   7655.0005      3.8839        0.41         253     53.5556      0.9051    -36.4443
        11.1        42        7510        72.8333   7283.3335      3.8623        0.43       255.7     53.3889      0.9023         -37
       11.15        40        7670           76.6        7660      3.8842        0.46       258.2     53.2778      0.9004    -37.3333
        11.2        40        7395           76.6        7660      3.8842        0.48       260.8     53.2778      0.9004    -37.5557
       11.25        42        7100        72.4762   7247.6187      3.8602        0.49       262.9     53.4444      0.9032    -37.7778
        11.3        44        7147        68.9091   6890.9087      3.8383        0.49         264        53.5      0.9041         -38
       11.35        41        7617        74.2195   7421.9512      3.8705        0.51       265.1        53.5      0.9041    -37.7778
        11.4        40        7572           76.2   7619.9995       3.882        0.53       267.7     53.5556      0.9051    -37.4443
       11.45        41        7250        74.2927   7429.2686      3.8709        0.53       272.9     53.8333      0.9098         -37
        11.5        42        7241           72.5        7250      3.8603        0.52       277.2     54.2778      0.9173    -36.2222
       11.55        42        7424        72.3571   7235.7139      3.8595        0.51       277.3     54.6111      0.9229    -35.1111
        11.6        40        7608          76.15        7615      3.8817        0.51       276.3     54.8333      0.9267    -33.8889
       11.65        39        7962        78.1026   7810.2563      3.8927        0.51       274.9          55      0.9295    -32.4443
        11.7        39        7760        77.8974   7789.7437      3.8915        0.51       273.2          55      0.9295    -30.8889
       11.75        38        8121        79.5789    7957.895      3.9008        0.51       270.8     55.0556      0.9304    -29.3333
        11.8        37        8006        81.7297   8172.9727      3.9124         0.5       268.2     55.2222      0.9333         -28
       11.85        38        7941        79.5263   7952.6313      3.9005         0.5         266     55.2778      0.9342    -26.8889
        11.9        39        7423        77.2308   7723.0767      3.8878        0.48       263.7     55.1667      0.9323    -26.2222
       11.95        41        7379        73.2683   7326.8296      3.8649        0.48       261.2     55.2778      0.9342    -26.2222
          12        40        7423           75.2   7519.9995      3.8762        0.49       258.9     55.4444       0.937    -26.5557
       12.05        41        7156        73.3171    7331.707      3.8652        0.51       257.4     55.4444       0.937    -27.1111
        12.1        42        7163        71.5476   7154.7622      3.8546        0.54       256.4     55.2778      0.9342    -28.1111
       12.15        42        7071        71.7619   7176.1904      3.8559        0.55       255.6     55.0556      0.9304    -29.1111
        12.2        43        7054        70.4419   7044.1865      3.8478        0.54       253.7     54.7222      0.9248    -29.8889
       12.25        44        7019        69.0455   6904.5454      3.8391        0.52       249.6     54.1667      0.9154    -30.5557
        12.3        42        7104        72.1429   7214.2861      3.8582         0.5       245.6     53.6667       0.907    -30.8889
       12.35        43        6838        70.1163   7011.6279      3.8458        0.51       242.9     53.1111      0.8976    -30.6667
        12.4        44        6805          68.25        6825      3.8341        0.53         242     52.7222       0.891    -29.6667
       12.45        44        6708        67.9545   6795.4546      3.8322        0.53         242     52.3889      0.8854    -28.2222
        12.5        46        6481        64.8043   6480.4346      3.8116        0.54       242.7     52.2778      0.8835    -26.4443
       12.55        46        6571        64.8478   6484.7822      3.8119        0.53       244.1     52.3333      0.8844    -24.2222
